trial_id,timestamp,family,hypothesis_one_line,mechanism_who_loses,params,timeframe,universe,tier,partition_used,n_trades,gross_edge_bps,net_edge_bps_pessimistic,sharpe_raw,gates_passed,gates_failed,outcome,cause_of_death,notes
A03_t0.0001,2026-08-08T01:46:09.680264+00:00,A,Funding carry: short perp when funding persistently positive,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'thresh': 0.0001},1h,135 perps incl delisted,1,development,3667,-0.6404,-0.847,-0.959,,,KILLED,net edge -0.847bps<=0 at pessimistic cost,regimes=-3.833/1.216/0.221 dd=-97.57%
A03_t0.0003,2026-08-08T01:46:10.099932+00:00,A,Funding carry: short perp when funding persistently positive,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'thresh': 0.0003},1h,135 perps incl delisted,1,development,1910,-1.4408,-1.7713,-1.363,,,KILLED,net edge -1.7713bps<=0 at pessimistic cost,regimes=-2.026/-4.154/-0.3 dd=-99.92%
A04,2026-08-08T01:46:10.545521+00:00,A,Funding sign flip as regime change,leveraged traders pay funding/get liquidated; forced flow cannot wait,{},1h,135 perps incl delisted,1,development,4118,-0.6251,-3.3866,-3.222,,,KILLED,net edge -3.3866bps<=0 at pessimistic cost,regimes=-2.952/-4.713/-2.988 dd=-100.0%
A05_f0.1,2026-08-08T01:46:10.975373+00:00,A,Cross-sectional funding rank long cheap/short dear,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'frac': 0.1},1h,135 perps incl delisted,1,development,12143,-0.0763,-1.7628,-2.167,,,KILLED,net edge -1.7628bps<=0 at pessimistic cost,regimes=-1.33/-4.1/-0.818 dd=-99.82%
A05_f0.2,2026-08-08T01:46:11.457085+00:00,A,Cross-sectional funding rank long cheap/short dear,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'frac': 0.2},1h,135 perps incl delisted,1,development,23639,0.1918,-1.5014,-1.994,,,KILLED,net edge -1.5014bps<=0 at pessimistic cost,regimes=-1.028/-3.215/-0.922 dd=-99.66%
A06_h6,2026-08-08T01:46:11.959114+00:00,A,OI up + price up -> fade crowded longs,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 6},1h,135 perps incl delisted,1,development,9260,-0.1237,-3.0039,-3.384,,,KILLED,net edge -3.0039bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-6.31/-0.035/-2.191
A07_h6,2026-08-08T01:46:11.986919+00:00,A,OI down + price up -> follow short squeeze,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 6},1h,135 perps incl delisted,1,development,9249,0.4262,-3.5252,-4.488,,,KILLED,net edge -3.5252bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-0.201/-6.325/-4.442
A08_h6,2026-08-08T01:46:12.005536+00:00,A,OI up + price down -> fade new shorts,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 6},1h,135 perps incl delisted,1,development,7991,-0.7206,-4.5112,-5.024,,,KILLED,net edge -4.5112bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-1.076/-8.032/-5.12
A09_h6,2026-08-08T01:46:12.023147+00:00,A,OI down + price down -> buy long capitulation,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 6},1h,135 perps incl delisted,1,development,9481,0.1602,-2.7592,-3.079,,,KILLED,net edge -2.7592bps<=0 at pessimistic cost,RERUN after bugfix; regimes=0.481/-5.669/-3.556
A06_h12,2026-08-08T01:46:12.041114+00:00,A,OI up + price up -> fade crowded longs,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 12},1h,135 perps incl delisted,1,development,6899,-0.0305,-2.0079,-2.273,,,KILLED,net edge -2.0079bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-5.169/1.401/-1.539
A07_h12,2026-08-08T01:46:12.058340+00:00,A,OI down + price up -> follow short squeeze,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 12},1h,135 perps incl delisted,1,development,7240,0.2209,-2.3989,-2.986,,,KILLED,net edge -2.3989bps<=0 at pessimistic cost,RERUN after bugfix; regimes=1.071/-5.395/-3.316
A08_h12,2026-08-08T01:46:12.075359+00:00,A,OI up + price down -> fade new shorts,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 12},1h,135 perps incl delisted,1,development,6334,-0.4177,-2.9972,-2.811,,,KILLED,net edge -2.9972bps<=0 at pessimistic cost,RERUN after bugfix; regimes=0.271/-6.055/-3.734
A09_h12,2026-08-08T01:46:12.093062+00:00,A,OI down + price down -> buy long capitulation,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 12},1h,135 perps incl delisted,1,development,6851,0.4802,-1.4052,-1.559,,,KILLED,net edge -1.4052bps<=0 at pessimistic cost,RERUN after bugfix; regimes=1.818/-4.215/-2.243
A06_h24,2026-08-08T01:46:12.111463+00:00,A,OI up + price up -> fade crowded longs,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 24},1h,135 perps incl delisted,1,development,4879,-0.2966,-1.493,-1.674,,,KILLED,net edge -1.493bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-4.632/1.546/-0.84
A07_h24,2026-08-08T01:46:12.129260+00:00,A,OI down + price up -> follow short squeeze,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 24},1h,135 perps incl delisted,1,development,5651,0.3305,-1.2954,-1.547,,,KILLED,net edge -1.2954bps<=0 at pessimistic cost,RERUN after bugfix; regimes=2.179/-5.251/-1.699
A08_h24,2026-08-08T01:46:12.146660+00:00,A,OI up + price down -> fade new shorts,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 24},1h,135 perps incl delisted,1,development,5033,-0.166,-1.8062,-1.698,,,KILLED,net edge -1.8062bps<=0 at pessimistic cost,RERUN after bugfix; regimes=1.343/-5.368/-2.184
A09_h24,2026-08-08T01:46:12.164105+00:00,A,OI down + price down -> buy long capitulation,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'hold': 24},1h,135 perps incl delisted,1,development,4609,0.4152,-0.6493,-0.707,,,KILLED,net edge -0.6493bps<=0 at pessimistic cost,RERUN after bugfix; regimes=2.672/-3.745/-1.405
A10_z2.0,2026-08-08T01:46:12.181678+00:00,A,OI rate-of-change extreme -> fade leverage build-up,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 2.0},1h,135 perps incl delisted,1,development,1942,-0.1567,-1.7596,-1.872,,,KILLED,net edge -1.7596bps<=0 at pessimistic cost,regimes=-4.852/1.61/-1.319 dd=-99.88%
A11_z2.0,2026-08-08T01:46:12.348012+00:00,A,Top-trader L/S extreme -> follow informed cohort,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 2.0},1h,135 perps incl delisted,1,development,978,0.4761,-0.054,-0.096,,,KILLED,net edge -0.054bps<=0 at pessimistic cost,regimes=0.308/0.318/-0.519 dd=-70.21%
A12_z2.0,2026-08-08T01:46:12.495178+00:00,A,Retail account L/S extreme -> fade the crowd,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 2.0},1h,135 perps incl delisted,1,development,1580,1.8606,0.8612,1.029,,,ADVANCE_TIER2,,regimes=-0.927/1.251/1.957 dd=-65.96%
A13_z2.0,2026-08-08T01:46:12.647527+00:00,A,Taker buy/sell ratio extreme -> fade aggressive flow,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 2.0},1h,135 perps incl delisted,1,development,11055,-0.3544,-5.8511,-8.448,,,KILLED,net edge -5.8511bps<=0 at pessimistic cost,regimes=-7.656/-4.666/-5.172 dd=-100.0%
A10_z3.0,2026-08-08T01:46:12.799823+00:00,A,OI rate-of-change extreme -> fade leverage build-up,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 3.0},1h,135 perps incl delisted,1,development,928,-0.5485,-1.5134,-1.758,,,KILLED,net edge -1.5134bps<=0 at pessimistic cost,regimes=-4.151/1.604/-1.269 dd=-99.71%
A11_z3.0,2026-08-08T01:46:12.950385+00:00,A,Top-trader L/S extreme -> follow informed cohort,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 3.0},1h,135 perps incl delisted,1,development,368,0.256,-0.0978,-0.177,,,KILLED,net edge -0.0978bps<=0 at pessimistic cost,regimes=0.389/0.602/-0.831 dd=-77.75%
A12_z3.0,2026-08-08T01:46:13.098847+00:00,A,Retail account L/S extreme -> fade the crowd,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 3.0},1h,135 perps incl delisted,1,development,371,1.4701,1.0595,1.021,,,ADVANCE_TIER2,,regimes=-0.059/2.24/1.239 dd=-86.69%
A13_z3.0,2026-08-08T01:46:13.247224+00:00,A,Taker buy/sell ratio extreme -> fade aggressive flow,leveraged traders pay funding/get liquidated; forced flow cannot wait,{'z': 3.0},1h,135 perps incl delisted,1,development,5233,0.0116,-3.9341,-6.997,,,KILLED,net edge -3.9341bps<=0 at pessimistic cost,regimes=-5.001/-2.919/-3.703 dd=-100.0%
A15_z3.0_h12,2026-08-08T01:46:13.394715+00:00,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",Run-6: long side was gross +18bps and cost-killed; short side wrong-signed,"{'z': 3.0, 'hold': 12}",1h,135 perps incl delisted,1,development,7969,-0.0121,-1.585,-2.061,,,KILLED,net edge -1.585bps<=0 at pessimistic cost,regimes=-0.2/-3.263/-1.691 dd=-99.76%
A15_z3.0_h24,2026-08-08T01:46:15.373645+00:00,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",Run-6: long side was gross +18bps and cost-killed; short side wrong-signed,"{'z': 3.0, 'hold': 24}",1h,135 perps incl delisted,1,development,7272,0.8626,-0.4921,-0.518,,,KILLED,net edge -0.4921bps<=0 at pessimistic cost,regimes=1.036/-2.306/-0.629 dd=-98.27%
A15_z3.0_h48,2026-08-08T01:46:17.378797+00:00,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",Run-6: long side was gross +18bps and cost-killed; short side wrong-signed,"{'z': 3.0, 'hold': 48}",1h,135 perps incl delisted,1,development,6707,1.0309,-0.0683,-0.058,,,KILLED,net edge -0.0683bps<=0 at pessimistic cost,regimes=1.056/-3.218/0.81 dd=-99.11%
A15_z4.0_h12,2026-08-08T01:46:19.444925+00:00,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",Run-6: long side was gross +18bps and cost-killed; short side wrong-signed,"{'z': 4.0, 'hold': 12}",1h,135 perps incl delisted,1,development,3591,-0.0602,-0.7215,-1.09,,,KILLED,net edge -0.7215bps<=0 at pessimistic cost,regimes=0.331/-1.985/-0.808 dd=-96.0%
A15_z4.0_h24,2026-08-08T01:46:21.440769+00:00,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",Run-6: long side was gross +18bps and cost-killed; short side wrong-signed,"{'z': 4.0, 'hold': 24}",1h,135 perps incl delisted,1,development,3351,0.1455,-0.4577,-0.637,,,KILLED,net edge -0.4577bps<=0 at pessimistic cost,regimes=0.621/-1.413/-0.729 dd=-91.02%
A15_z4.0_h48,2026-08-08T01:46:23.452470+00:00,A,"Cascade reversion RESTRUCTURED: long-only, higher z, longer hold (Run-6 fix)",Run-6: long side was gross +18bps and cost-killed; short side wrong-signed,"{'z': 4.0, 'hold': 48}",1h,135 perps incl delisted,1,development,3199,0.0303,-0.5136,-0.654,,,KILLED,net edge -0.5136bps<=0 at pessimistic cost,regimes=0.414/-1.652/-0.577 dd=-94.17%
B_mom_1d_f0.1,2026-08-08T01:46:25.436812+00:00,B,Cross-sectional momentum 1d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 24, 'frac': 0.1}",1h,135 perps incl delisted,1,development,27553,-0.4026,-2.3078,-7.36,,,KILLED,net edge -2.3078bps<=0 at pessimistic cost,regimes=-2.978/-2.119/-1.92 dd=-99.9%
B_mom_1d_f0.2,2026-08-08T01:46:26.032348+00:00,B,Cross-sectional momentum 1d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 24, 'frac': 0.2}",1h,135 perps incl delisted,1,development,20468,-0.2516,-1.9459,-8.574,,,KILLED,net edge -1.9459bps<=0 at pessimistic cost,regimes=-2.474/-1.82/-1.628 dd=-99.72%
B_momLO_1d,2026-08-08T01:46:26.680611+00:00,B,Cross-sectional momentum 1d LONG-ONLY,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 24, 'long_only': True}",1h,135 perps incl delisted,1,development,33160,1.0237,-0.42,-0.382,,,KILLED,net edge -0.42bps<=0 at pessimistic cost,regimes=3.584/-5.354/-0.682 dd=-99.22%
B_mom_3d_f0.1,2026-08-08T01:46:27.252141+00:00,B,Cross-sectional momentum 3d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 72, 'frac': 0.1}",1h,135 perps incl delisted,1,development,20851,0.0509,-1.314,-4.02,,,KILLED,net edge -1.314bps<=0 at pessimistic cost,regimes=-1.329/-1.635/-1.13 dd=-98.25%
B_mom_3d_f0.2,2026-08-08T01:46:27.837726+00:00,B,Cross-sectional momentum 3d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 72, 'frac': 0.2}",1h,135 perps incl delisted,1,development,23322,0.0412,-1.0433,-4.524,,,KILLED,net edge -1.0433bps<=0 at pessimistic cost,regimes=-1.1/-1.179/-0.929 dd=-95.93%
B_momLO_3d,2026-08-08T01:46:28.454869+00:00,B,Cross-sectional momentum 3d LONG-ONLY,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 72, 'long_only': True}",1h,135 perps incl delisted,1,development,16531,1.0787,-0.0218,-0.02,,,KILLED,net edge -0.0218bps<=0 at pessimistic cost,regimes=4.163/-5.202/-0.283 dd=-98.64%
B_mom_7d_f0.1,2026-08-08T01:46:29.028503+00:00,B,Cross-sectional momentum 7d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 168, 'frac': 0.1}",1h,135 perps incl delisted,1,development,14124,0.2452,-0.838,-2.441,,,KILLED,net edge -0.838bps<=0 at pessimistic cost,regimes=-0.733/-1.027/-0.812 dd=-94.83%
B_mom_7d_f0.2,2026-08-08T01:46:29.603717+00:00,B,Cross-sectional momentum 7d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 168, 'frac': 0.2}",1h,135 perps incl delisted,1,development,18633,0.0806,-0.7553,-3.054,,,KILLED,net edge -0.7553bps<=0 at pessimistic cost,regimes=-0.728/-0.842/-0.729 dd=-91.48%
B_momLO_7d,2026-08-08T01:46:30.177076+00:00,B,Cross-sectional momentum 7d LONG-ONLY,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 168, 'long_only': True}",1h,135 perps incl delisted,1,development,10096,1.0943,0.2516,0.227,,,KILLED,only 1/3 regimes positive,regimes=4.584/-4.837/-0.166 dd=-97.4%
B_mom_30d_f0.1,2026-08-08T01:46:30.752052+00:00,B,Cross-sectional momentum 30d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 720, 'frac': 0.1}",1h,135 perps incl delisted,1,development,6689,0.2205,-0.4623,-1.307,,,KILLED,net edge -0.4623bps<=0 at pessimistic cost,regimes=-0.389/-0.809/-0.329 dd=-84.33%
B_mom_30d_f0.2,2026-08-08T01:46:31.323086+00:00,B,Cross-sectional momentum 30d decile L/S,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 720, 'frac': 0.2}",1h,135 perps incl delisted,1,development,9775,0.0827,-0.4284,-1.754,,,KILLED,net edge -0.4284bps<=0 at pessimistic cost,regimes=-0.431/-0.712/-0.274 dd=-79.13%
B_momLO_30d,2026-08-08T01:46:31.919418+00:00,B,Cross-sectional momentum 30d LONG-ONLY,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 720, 'long_only': True}",1h,135 perps incl delisted,1,development,4316,0.899,0.4259,0.391,,,KILLED,only 1/3 regimes positive,regimes=4.566/-4.381/-0.004 dd=-94.22%
B_rev_1h_h1,2026-08-08T01:46:32.477999+00:00,B,Short-horizon reversal 1h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 1, 'hold': 1}",1h,135 perps incl delisted,1,development,671830,0.8503,-38.1458,-135.541,,,KILLED,net edge -38.1458bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-37.745/-38.527/-38.233
B_rev_1h_h3,2026-08-08T01:46:32.834605+00:00,B,Short-horizon reversal 1h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 1, 'hold': 3}",1h,135 perps incl delisted,1,development,253139,0.4421,-17.6236,-83.189,,,KILLED,net edge -17.6236bps<=0 at pessimistic cost,regimes=-17.339/-18.022/-17.616 dd=-100.0%
B_rev_1h_h6,2026-08-08T01:46:33.492137+00:00,B,Short-horizon reversal 1h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 1, 'hold': 6}",1h,135 perps incl delisted,1,development,86921,0.4189,-12.8157,-62.621,,,KILLED,net edge -12.8157bps<=0 at pessimistic cost,regimes=-12.494/-13.385/-12.743 dd=-100.0%
B_rev_3h_h1,2026-08-08T01:46:34.161924+00:00,B,Short-horizon reversal 3h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 3, 'hold': 1}",1h,135 perps incl delisted,1,development,533137,0.1475,-22.9762,-80.252,,,KILLED,net edge -22.9762bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-22.885/-22.827/-23.124
B_rev_3h_h3,2026-08-08T01:46:34.544502+00:00,B,Short-horizon reversal 3h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 3, 'hold': 3}",1h,135 perps incl delisted,1,development,235021,0.0868,-12.0539,-53.987,,,KILLED,net edge -12.0539bps<=0 at pessimistic cost,regimes=-11.912/-12.08/-12.143 dd=-100.0%
B_rev_3h_h6,2026-08-08T01:46:35.188188+00:00,B,Short-horizon reversal 3h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 3, 'hold': 6}",1h,135 perps incl delisted,1,development,102605,0.1526,-8.1224,-37.632,,,KILLED,net edge -8.1224bps<=0 at pessimistic cost,regimes=-7.949/-8.359/-8.121 dd=-100.0%
B_rev_6h_h1,2026-08-08T01:46:35.854859+00:00,B,Short-horizon reversal 6h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 6, 'hold': 1}",1h,135 perps incl delisted,1,development,412166,0.4098,-16.3039,-55.498,,,KILLED,net edge -16.3039bps<=0 at pessimistic cost,RERUN after bugfix; regimes=-16.078/-16.23/-16.509
B_rev_6h_h3,2026-08-08T01:46:36.269379+00:00,B,Short-horizon reversal 6h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 6, 'hold': 3}",1h,135 perps incl delisted,1,development,217558,0.2014,-8.6549,-36.209,,,KILLED,net edge -8.6549bps<=0 at pessimistic cost,regimes=-8.511/-8.724/-8.723 dd=-100.0%
B_rev_6h_h6,2026-08-08T01:46:36.956971+00:00,B,Short-horizon reversal 6h,slow information diffusion / liquidity provision across fragmented retail market,"{'lookback_h': 6, 'hold': 6}",1h,135 perps incl delisted,1,development,106099,0.244,-5.9686,-26.432,,,KILLED,net edge -5.9686bps<=0 at pessimistic cost,regimes=-5.691/-6.22/-6.036 dd=-100.0%
B08,2026-08-08T01:46:37.614358+00:00,B,Idiosyncratic-vol ranking (long low idio vol),slow information diffusion / liquidity provision across fragmented retail market,{},1h,135 perps incl delisted,1,development,4756,-0.0179,-0.3127,-1.356,,,KILLED,net edge -0.3127bps<=0 at pessimistic cost,regimes=-0.145/0.012/-0.611 dd=-65.02%
B09,2026-08-08T01:46:38.244100+00:00,B,Low-beta anomaly ranking,slow information diffusion / liquidity provision across fragmented retail market,{},1h,135 perps incl delisted,1,development,2561,-0.2414,-0.407,-1.253,,,KILLED,net edge -0.407bps<=0 at pessimistic cost,regimes=-1.176/0.211/-0.179 dd=-77.59%
B10,2026-08-08T01:46:39.021590+00:00,B,Funding-adjusted momentum,slow information diffusion / liquidity provision across fragmented retail market,{},1h,135 perps incl delisted,1,development,18628,0.1239,-0.7101,-2.872,,,KILLED,net edge -0.7101bps<=0 at pessimistic cost,regimes=-0.682/-0.773/-0.697 dd=-90.65%
B11,2026-08-08T01:46:39.786759+00:00,B,Liquidity-scaled momentum,slow information diffusion / liquidity provision across fragmented retail market,{},1h,135 perps incl delisted,1,development,18556,0.0438,-0.7757,-3.38,,,KILLED,net edge -0.7757bps<=0 at pessimistic cost,regimes=-0.741/-0.849/-0.761 dd=-91.94%
B12,2026-08-08T01:46:40.448626+00:00,B,Sector rotation L1/DeFi/Meme/Infra,slow information diffusion / liquidity provision across fragmented retail market,{},1h,135 perps incl delisted,1,development,481,0.4098,0.0552,0.145,,,KILLED,only 1/3 regimes positive,regimes=1.566/-1.513/-0.202 dd=-75.09%
C01_q0.1,2026-08-08T01:46:40.875436+00:00,C,Realised-vol compression -> expansion breakout,insurance buyers overpay for vol; vol is autocorrelated so forecasts are reliable,{'q': 0.1},1h,135 perps incl delisted,1,development,30080,0.1672,-8.6209,-10.179,,,KILLED,net edge -8.6209bps<=0 at pessimistic cost,regimes=-9.615/-6.48/-9.05 dd=-100.0%
C01_q0.2,2026-08-08T01:46:42.641996+00:00,C,Realised-vol compression -> expansion breakout,insurance buyers overpay for vol; vol is autocorrelated so forecasts are reliable,{'q': 0.2},1h,135 perps incl delisted,1,development,35722,0.1087,-9.4124,-11.135,,,KILLED,net edge -9.4124bps<=0 at pessimistic cost,regimes=-11.138/-7.085/-9.408 dd=-100.0%
C01_q0.3,2026-08-08T01:46:44.350003+00:00,C,Realised-vol compression -> expansion breakout,insurance buyers overpay for vol; vol is autocorrelated so forecasts are reliable,{'q': 0.3},1h,135 perps incl delisted,1,development,37894,-0.0742,-10.0557,-11.875,,,KILLED,net edge -10.0557bps<=0 at pessimistic cost,regimes=-11.575/-8.823/-9.611 dd=-100.0%
C05_h6,2026-08-08T01:46:46.108533+00:00,C,Range contraction -> breakout,insurance buyers overpay for vol; vol is autocorrelated so forecasts are reliable,{'hold': 6},1h,135 perps incl delisted,1,development,105070,0.5232,-12.4149,-16.008,,,KILLED,net edge -12.4149bps<=0 at pessimistic cost,regimes=-11.975/-11.807/-13.064 dd=-100.0%
C05_h12,2026-08-08T01:46:46.624034+00:00,C,Range contraction -> breakout,insurance buyers overpay for vol; vol is autocorrelated so forecasts are reliable,{'hold': 12},1h,135 perps incl delisted,1,development,82418,0.5267,-6.6409,-9.845,,,KILLED,net edge -6.6409bps<=0 at pessimistic cost,regimes=-6.118/-6.281/-7.217 dd=-100.0%
C05_h24,2026-08-08T01:46:47.086448+00:00,C,Range contraction -> breakout,insurance buyers overpay for vol; vol is autocorrelated so forecasts are reliable,{'hold': 24},1h,135 perps incl delisted,1,development,58452,0.3426,-3.2948,-6.257,,,KILLED,net edge -3.2948bps<=0 at pessimistic cost,regimes=-2.58/-3.266/-3.833 dd=-100.0%
C10,2026-08-08T01:46:47.571498+00:00,C,"Regime-conditional: revert in high vol, trend in low vol",insurance buyers overpay for vol; vol is autocorrelated so forecasts are reliable,{},1h,135 perps incl delisted,1,development,107772,-0.2951,-8.3575,-30.8,,,KILLED,net edge -8.3575bps<=0 at pessimistic cost,regimes=-8.0/-8.589/-8.494 dd=-100.0%
D_asia_open_long,2026-08-08T01:46:50.116022+00:00,D,Session effect asia_open (long),participant mix changes by clock; scheduled payments are dodged predictably,"{'hours': [0, 1, 2], 'direction': 1}",1h,135 perps incl delisted,1,development,139114,-0.2957,-2.3933,-6.122,,,KILLED,net edge -2.3933bps<=0 at pessimistic cost,regimes=-1.719/-3.041/-2.536 dd=-99.93%
