feature,family,source,evidence_group,new_data_tier,reason,best_target,development_ic,newey_west_t_stat,p_value,auc,cpcv_fold_stability,macro_tier1_redundancy,crypto_tier1_redundancy,holdout_sign_consistent
real_yield_level,macro/vintage,WRDS macro feature file,Additional Macro / WRDS Extension Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",frozen_macro_drawdown_avoidance,0.38291012625468474,4.202461793235525,2.6402782198574326e-05,0.7210781932977174,0.8666666666666667,0.5366737475069232,0.5529787087978083,False
real_yield_change,macro/vintage,WRDS macro feature file,Additional Macro / WRDS Extension Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",eth_outperforms_btc_30d,-0.12355411549100853,-0.9194638761658186,0.35785299194707154,0.5766427450100919,0.7333333333333333,0.4053837108331825,0.2383910249226442,False
dxy_momentum,macro/vintage,WRDS macro feature file,Additional Macro / WRDS Extension Tier-1,New Data Tier 2,"Some development evidence, but weaker significance/stability or partial redundancy.",eth_outperforms_btc_30d,0.13240374081264583,2.3296687876266327,0.019823663432445685,0.5821372505045974,0.9333333333333333,0.5257983886032667,0.2285646264304801,False
exchange_netflow_7d,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
exchange_netflow_30d,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
exchange_pressure_percentile,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
mvrv_level,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
mvrv_percentile,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
realized_cap_growth_30d,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
holder_accumulation_proxy,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
whale_accumulation_proxy,on-chain,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_net_flow_1d,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_net_flow_5d,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_net_flow_21d,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_flow_acceleration,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_flow_percentile,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_inflow_streak,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_outflow_shock,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
etf_flow_as_aum_if_available,ETF flows,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
iv_level,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
iv_change_7d,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
iv_change_30d,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
iv_term_slope,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
skew_level,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
skew_change,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
put_call_ratio,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
risk_reversal,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
option_oi_change,options-implied,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
liquidation_shock,derivatives/crowding,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
asset_manager_net_position,COT/CME,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
leveraged_fund_net_position,COT/CME,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
dealer_net_position,COT/CME,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
positioning_change_1w,COT/CME,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
positioning_percentile,COT/CME,unavailable,Genuine New / Alternative Data Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
liquidity_growth,macro/vintage,unavailable,Additional Macro / WRDS Extension Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
financial_conditions_level,macro/vintage,unavailable,Additional Macro / WRDS Extension Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
financial_conditions_change,macro/vintage,unavailable,Additional Macro / WRDS Extension Tier-1,New Data Tier 3,Unavailable or unusable under strict acceptance rules.,,,,,,,,,False
